Node,Type,Degree,Degree Centrality,Eigenvector Centrality
Y2j77,follower,1,0.001145475372279496,0.0012917299888513007
n1EKy,follower,2,0.002290950744558992,0.003279907371254721
OgWG1,follower,2,0.002290950744558992,0.00280600673033629
eY98v,follower,2,0.002290950744558992,0.00280600673033629
ZZEqa,follower,2,0.002290950744558992,0.00264764378315066
A71Kk,follower,1,0.001145475372279496,0.0012917299888513007
kKMK1,follower,5,0.00572737686139748,0.006712045001353937
LMJWG,follower,1,0.001145475372279496,0.0013559137942993592
DORXR,follower,1,0.001145475372279496,0.0013559137942993592
gY9Ak,follower,3,0.003436426116838488,0.003828841923192549
ax4kmj,follower,2,0.002290950744558992,0.002947386883609446
wPdNZ,follower,1,0.001145475372279496,0.0013559137942993592
BJaym,follower,1,0.001145475372279496,0.0013559137942993592
Qb0R1,follower,3,0.003436426116838488,0.0033832325033376297
r49YY,follower,1,0.001145475372279496,0.00142090092305362
X6zr1lZ,follower,1,0.001145475372279496,0.00142090092305362
JZ8ko,follower,1,0.001145475372279496,0.00142090092305362
emlW5,follower,1,0.001145475372279496,0.00142090092305362
p9r3B,follower,1,0.001145475372279496,0.00142090092305362
d9VY2,follower,1,0.001145475372279496,0.00142090092305362
n3vY0,follower,1,0.001145475372279496,0.00142090092305362
eJ9qp,follower,1,0.001145475372279496,0.00142090092305362
aAb1E,follower,1,0.001145475372279496,0.00142090092305362
Akv3k,follower,1,0.001145475372279496,0.00198817738240342
J5Qy7,follower,1,0.001145475372279496,0.00198817738240342
awRka,follower,1,0.001145475372279496,0.001514276741484989
OPPvz,follower,1,0.001145475372279496,0.001514276741484989
aN4Wa,follower,1,0.001145475372279496,0.001514276741484989
WaBjZ,follower,1,0.001145475372279496,0.001514276741484989
p7O4m,follower,1,0.001145475372279496,0.001514276741484989
796Ar,follower,1,0.001145475372279496,0.001514276741484989
XBmlq,follower,1,0.001145475372279496,0.001514276741484989
q7wwE,follower,1,0.001145475372279496,0.001514276741484989
79JQj,follower,1,0.001145475372279496,0.001514276741484989
XBP0a,follower,1,0.001145475372279496,0.0009586513874082005
7KVbP,follower,2,0.002290950744558992,0.0025501244767182868
o6ppa,follower,1,0.001145475372279496,0.0009586513874082005
PQv7N,follower,1,0.001145475372279496,0.0009586513874082005
GExEE,follower,1,0.001145475372279496,0.0009586513874082005
OJGWX,follower,1,0.001145475372279496,0.0009586513874082005
aNzoj,follower,1,0.001145475372279496,0.0009586513874082005
AxAm78w,follower,1,0.001145475372279496,0.0009586513874082005
BRzq1,follower,1,0.001145475372279496,0.0009586513874082005
nQV64,follower,1,0.001145475372279496,0.0009586513874082005
r7148,follower,1,0.001145475372279496,0.0009586513874082005
MWvm9,follower,1,0.001145475372279496,0.0009586513874082005
5Bvd7,follower,1,0.001145475372279496,0.0009586513874082005
q7PaP6z,follower,1,0.001145475372279496,0.0009586513874082005
